stock,cumulative_return,annualized_return,max_drawdown,sharpe
0305.HK,3.669941,4.078289,-0.239667,2.612789
9863.HK,3.180767,3.490749,-0.250657,2.343497
000800.SZ,2.760536,3.018021,-0.127193,3.640115
601127.SS,2.362377,2.591637,-0.161152,2.768230
XPEV,2.185129,2.214786,-0.264772,1.917591
LI,2.076708,2.104495,-0.258687,1.980200
601633.SS,1.507207,1.635746,-0.092847,2.895442
VWAGY,1.579047,1.598669,-0.168850,2.697837
0175.HK,0.969113,1.025026,-0.142192,2.304988
MBGAF,0.899117,0.908887,-0.089247,2.791452
STLA,0.803396,0.811924,-0.095952,2.100313
601238.SS,0.520361,0.555405,-0.111560,1.798600
GM,0.511238,0.516238,-0.098250,1.947248
NSANY,0.496530,0.501365,-0.062951,2.631550
600104.SS,0.034819,0.036748,-0.142491,0.236421
